name,sector,priority,website,email,city,source,validation_status,notes
Al Maya Group,Retail / FMCG Distribution,2,https://www.almaya.ae/career.php,hr@almaya.ae,Dubai,sourcing-gulf1,MX_PENDING,Senior Marketing Manager (Retail) | cv:brand | country:UAE
Hunter Foods,F&B / FMCG Manufacturing,2,https://www.hunterfoods.com/careers/,careers@hunterfoods.com,Dubai,sourcing-gulf1,MX_PENDING,Senior Brand & Marketing Manager | cv:brand | country:UAE
Marina Mall Abu Dhabi,Retail (Shopping Mall),2,https://marinamall.ae/career/,Mycareer@marinamall.ae,Abu Dhabi,sourcing-gulf1,MX_PENDING,Marketing Manager - Mall | cv:brand | country:UAE
Line Investments & Property (Lulu Group - Madinat Zayed Mall),Retail (Shopping Malls),2,https://www.madinatzayed-mall.com/careers/,hr@lineinvestments.ae,Abu Dhabi,sourcing-gulf1,MX_PENDING,Senior Marketing Manager - Malls | cv:brand | country:UAE
Ezdan Hotels & Suites,Hospitality,2,https://ezdanhotels.qa/careers/,careers@ezdanhotels.qa,Doha,sourcing-gulf1,MX_PENDING,Marketing Manager | cv:hospitality | country:Qatar
Ramada Encore by Wyndham Doha,Hospitality,2,http://www.ramadaencoredoha.com/careers,hrm@ramadaencoredoha.com,Doha,sourcing-gulf1,MX_PENDING,Sales & Marketing Manager | cv:hospitality | country:Qatar
Banyan Tree Doha at La Cigale Mushaireb,Hospitality,2,https://www.linkedin.com/company/banyantreedoha,recruitment.doha@banyantree.com,Doha,sourcing-gulf1,MX_PENDING,Director of Marketing & Communications | cv:hospitality | country:Qatar
Katara Hospitality,Hospitality,2,https://www.katarahospitality.com/career/,info@katarahospitality.com,Doha,sourcing-gulf1,MX_PENDING,Senior Marketing Manager (Corporate) | cv:hospitality | country:Qatar
Aura Group (F&B and Entertainment),Food & Beverage / Entertainment,2,https://www.linkedin.com/posts/aura_group_immediate-hiring-to-qatar-join-our-hospitality-activity-6974303565938847744-YWC3,careers@auragroup-intl.com,Doha,sourcing-gulf1,MX_PENDING,Head of Marketing | cv:hospitality | country:Qatar
Al Mana Media (Publicis Groupe affiliate),Advertising Agency,2,https://www.almanamedia.com/en/pages/careers,careers@almanamedia.com,Doha,sourcing-gulf1,MX_PENDING,Account Director / Senior Digital Marketing Manager | cv:generic | country:Qatar
iHorizons,Digital Agency / Technology,2,https://www.ihorizons.com/careers,hr@ihorizons.com,Doha,sourcing-gulf1,MX_PENDING,Digital Marketing Manager | cv:generic | country:Qatar
"Abu Issa Holding (Blue Salon, luxury retail)",Retail Group,2,https://www.abuissa.com/careers/,jobs@abuissa.com,Doha,sourcing-gulf1,MX_PENDING,Group Marketing Manager | cv:brand | country:Qatar
Al Meera Consumer Goods,Retail,2,https://www.almeera.com.qa/careers/job-vacancies/apply-vacancy,recruitment@almeera.com.qa,Doha,sourcing-gulf1,MX_PENDING,Marketing Manager | cv:brand | country:Qatar
Printemps Doha (Doha Oasis),Luxury Retail,2,https://in.linkedin.com/posts/sarab-a-zourob-7687aab9_we-are-hiring-kindly-share-your-resume-to-activity-6964511552821444608-nQ2z,Talents@printempsdoha.com,Doha,sourcing-gulf1,MX_PENDING,Senior Marketing Manager | cv:brand | country:Qatar
Regency Group Holding (Al Asmakh Group),Real Estate / Conglomerate,2,https://alasmakhgroup.com/careers.html,hrd@regencygroupq.com,Doha,sourcing-gulf1,MX_PENDING,Group Marketing Manager | cv:generic | country:Qatar
Alfardan Properties (Alfardan Group),Real Estate,2,https://www.alfardanproperties.com/contact-us/,afp_recruitment@alfardan.com.qa,Doha,sourcing-gulf1,MX_PENDING,Marketing Manager | cv:generic | country:Qatar
25 Spaces Real Estate,Real Estate,2,https://25spaces-dev.q.starberry.com/careers/,careers@25spaces.com,Doha (The Pearl Island),sourcing-gulf1,MX_PENDING,Marketing Manager | cv:generic | country:Qatar
Doha Quest (Doha Oasis theme park),Entertainment / Leisure,2,https://dohaquest.com/en/contact,careers@dohaquest.com,Doha,sourcing-gulf1,MX_PENDING,Marketing Manager | cv:brand | country:Qatar
Lusail Circuit Sports Club (Lusail International Circuit),Sports / Events,2,https://www.lcsc.qa/en/contact/,info@lcsc.qa,Lusail,sourcing-gulf1,MX_PENDING,Senior Marketing Manager | cv:generic | country:Qatar
Apex Events,Events Management,2,https://apexqatar.com/,events@apexqatar.com,Doha,sourcing-gulf1,MX_PENDING,Marketing & Business Development Manager | cv:generic | country:Qatar
Safir Hotels & Resorts,Hospitality,2,https://www.safirhotels.com/careers,jobs@safirhotels.com,Kuwait City,sourcing-gulf1,MX_PENDING,Cluster Director of Marketing / Marketing & Communications Manager | cv:hospitality | country:Kuwait
Kout Food Group,F&B / Restaurant Franchising,2,https://www.koutfood.com/careers,info@koutfood.com,Kuwait City,sourcing-gulf1,MX_PENDING,Senior Marketing Manager | cv:generic | country:Kuwait
Alyasra Fashion,Retail / Fashion,2,https://www.alyasra.com/careers/,careers@alyasra.com,Kuwait City,sourcing-gulf1,MX_PENDING,Head of Brand Marketing / Senior Marketing Manager | cv:brand | country:Kuwait
Boushahri Group,Retail / Beauty & Healthcare Distribution,2,https://www.boushahrigroup.com/careers/,info@boushahrigroup.com,Salmiya,sourcing-gulf1,MX_PENDING,Senior Digital Marketing Manager | cv:brand | country:Kuwait
Gulf Hotels Group,Hospitality,2,https://www.gulfhotelsgroup.com/careers.php,recruitment@gulfhotelsgroup.com,Manama,sourcing-gulf1,MX_PENDING,Director of Marketing / Cluster Marketing Manager | cv:hospitality | country:Bahrain
The K Hotel,Hospitality,2,https://www.thekhotel.com/careers,hiring@thekhotel.com,"Juffair, Manama",sourcing-gulf1,MX_PENDING,Marketing & Communications Manager | cv:hospitality | country:Bahrain
Bahrain Duty Free,Travel Retail,2,https://bdutyfree.com/departure/careers,careers@bdutyfree.com,Muharraq (Bahrain International Airport),sourcing-gulf1,MX_PENDING,Senior Marketing Manager | cv:generic | country:Bahrain
Hasan Mansouri Group,"Family Conglomerate (construction, property, F&B)",2,https://www.hasanmansouri.com/,office@hasanmansouri.com,Manama,sourcing-gulf1,MX_PENDING,Group Marketing Manager | cv:generic | country:Bahrain
Fakhro Group,"Family Conglomerate (retail, distribution, services)",2,https://www.fakhro.com/careers,info@fakhro.com,Manama,sourcing-gulf1,MX_PENDING,Group Head of Marketing / Senior Marketing Manager | cv:generic | country:Bahrain
Mohammed Jalal & Sons Group,"Family Conglomerate (consumer, industrial, F&B)",2,https://www.jalal.com/,info@jalal.com,Manama,sourcing-gulf1,MX_PENDING,Group Marketing Manager | cv:generic | country:Bahrain
Unisono,Branding / Creative Agency,2,https://unisonoagency.com/,info@unisonoagency.com,Manama,sourcing-gulf1,MX_PENDING,Strategy Director / Senior Brand Strategist | cv:brand | country:Bahrain
Saud Bahwan Group,"Family Conglomerate (automotive, real estate, tourism)",2,https://saudbahwangroup.com/job-vacancies-in-oman/,sbghrd@sbgoman.com,Muscat,sourcing-gulf1,MX_PENDING,Senior Marketing Manager (Deputy Manager level) | cv:generic | country:Oman
Khimji Ramdas Group,"Family Conglomerate (retail, FMCG, lifestyle)",2,https://www.khimji.com/careers/,hrd@kr.om,Muscat,sourcing-gulf1,MX_PENDING,Group Senior Marketing Manager | cv:generic | country:Oman
W.J. Towell & Co.,"Family Conglomerate (FMCG, retail, real estate)",2,https://www.wjtowell.com/careers,info@wjtowell.com,Muscat,sourcing-gulf1,MX_PENDING,Group Marketing Manager | cv:generic | country:Oman
Muriya Tourism Development (Orascom),Hospitality,2,https://www.muriya.om/careers,career@muriya.om,"Muscat / Salalah (Hawana Salalah, Jebel Sifah)",sourcing-gulf1,MX_PENDING,Director of Marketing / Destination Marketing Manager | cv:hospitality | country:Oman
City Seasons Hotel Muscat,Hospitality,2,https://www.cityseasonshotels.com/careers,info@cityseasonshotels.com,Muscat,sourcing-gulf1,MX_PENDING,Marketing & Communications Manager | cv:hospitality | country:Oman
