name,sector,city,priority,careers_url,linkedin_company,notes
Social Clinic,Agence,KSA,1,https://socialclinic.sa/careers,https://www.linkedin.com/company/social-clinic,Top agence KSA bureau Médine
Publicis Groupe Riyadh,Agence,Riyadh,1,https://careers.publicisgroupe.com/,https://www.linkedin.com/company/publicis-groupe,Ex-Publicis Genève réseau direct
GroupM Riyadh,Agence média,Riyadh,2,https://www.groupm.com/careers/,https://www.linkedin.com/company/groupm,Media buying MENA
VML MENA,Agence,Riyadh,2,https://www.vml.com/careers,https://www.linkedin.com/company/vml,Brand + tech digital
Almarai,FMCG,Riyadh,2,https://www.almarai.com/en/careers/,https://www.linkedin.com/company/almarai,FMCG leader dairy
Cenomi Retail,Retail,Riyadh,2,,https://www.linkedin.com/company/cenomi-retail,51 brands fashion
STC Group,Telco,Riyadh,2,https://www.stc.com.sa/en/careers,https://www.linkedin.com/company/stc,Telco leader Vision 2030
Ritz-Carlton Riyadh,Hotel luxe,Riyadh,1,https://careers.marriott.com/,https://www.linkedin.com/company/the-ritz-carlton-hotel-company,Diplomatic Quarter luxury
Four Seasons Jeddah,Hotel luxe,Jeddah,1,https://careers.fourseasons.com/,https://www.linkedin.com/company/four-seasons-hotels-and-resorts,Red Sea front
Banyan Tree AlUla,Hotel luxe,AlUla,1,,https://www.linkedin.com/company/banyan-tree-hotels-and-resorts,Wellness AlUla heritage
Conrad Makkah,Hotel luxe,Makkah,1,https://jobs.hilton.com/,https://www.linkedin.com/company/conrad-hotels-resorts,Luxury Hilton
Raffles Makkah Palace,Hotel ultra-luxe,Makkah,1,https://careers.accor.com/,https://www.linkedin.com/company/raffles-hotels-resorts,Ultra-luxury butler service
Madinah Region Development Authority,Gouvernement,Médine,1,https://madinah.gov.sa,,Smart city Madinah partenariats Almosafer
Tibah Airports,Aviation,Médine,2,https://tibahairports.com/careers,https://www.linkedin.com/company/tibahairports,Opérateur aéroport Madinah
Taibah University,Université,Médine,3,https://jobs.taibahu.edu.sa,https://www.linkedin.com/school/taibah-university,Marketing/comms admin roles
